id,service_id,branch_id,is_available,price_override,created_at,updated_at,created_by,updated_by,deleted_at
a46e86c7-de84-4369-85dc-dfe08cc3dfe4,595b4a67-966e-42b6-b52a-57d7819ecf35,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
84d8363d-0427-4c14-a4ff-06c61bfa95f5,1bd9a438-266e-4869-932f-3a77f6db08e1,6f996f5c-9b87-401f-b8e3-3f3286a589f4,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
1c17e262-29fd-42e3-a1a2-a07e083bf454,25404fe4-0c4d-433c-9946-04595ad991a2,eab23b60-2e47-4b22-a9ad-61036724db86,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
bf81bb21-9c17-40ee-86c5-303bede3ddb5,dec171b2-fe8c-480e-9663-407bf222d48f,b7871655-3ad6-4a91-9122-c40bf86ce57a,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
b073da74-919d-480f-bd28-952e2e707598,7659d696-a77f-4a60-91e7-cfed42bef7c4,9482d0c5-1d4c-4189-8c98-45deba4320da,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
b5a272f9-4459-4b67-9e3a-ee80f2a8257f,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,32854e5d-bab8-41b7-9b33-13bcf30260cf,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
09f523cc-abae-41a1-a533-c8700cbeb0ea,e017e74c-c922-4309-9db0-edf14eed7e01,b200245d-aec6-421e-83b7-9f2968e76d78,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
cffce11d-96ad-433f-941b-936605f19db6,a8fc8cbe-6e41-420c-ac78-228e04cdbd9d,0c0c761a-4d95-4133-937b-ebc79f524919,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
1e6e4c66-f82d-4b11-807d-06ac3d2f811d,e74dcc8f-3373-4c3a-aa6a-477686c6cc0d,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
48ce21b4-12da-4df3-83c9-24118b530307,648bf2b5-5e36-4f47-9620-ca5c86e74730,77924470-8f96-4bbf-9117-47e749386a7c,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
2026172e-0616-4ca6-8667-82b8ec747004,a2e49d2e-d950-45cf-851f-d0b513174316,807b3d73-be68-42e0-9062-4d4cc0d226f4,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
0ecd9f4f-7d10-42eb-9713-dd9f7bf45b1f,7a387614-4afe-4ca3-8b0c-996cd116a510,25b3e878-5f5e-4b2e-a404-a7eb2507e407,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
0fb1bba7-5a47-443c-944f-bd059a7f0aa0,b512b24b-e584-4aaf-9d9a-0ba9919d17de,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
8de15551-1e1a-42d6-9670-ae8af9cf13de,d7a500cd-5412-4f11-880c-8a428b37e201,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,1,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
