id,membership_plan_id,benefit_type,benefit_value,max_per_period,description,created_at,updated_at,created_by,updated_by,deleted_at
5ae231fe-d8f7-43de-8860-ef8da5f3ddce,d79a6c2e-1feb-42b2-87b7-1b1158b3fea6,discount_percentage,10.00,,10% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
c9904439-3eed-4078-94e6-265b4d7f8492,a05ac73f-ef06-4cd5-83ce-437a1036af61,discount_percentage,15.00,,15% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
534368f3-78a2-49c8-9c0c-2532d2e84455,e4811a3b-307c-41a4-8d1c-b2b728ec2ac5,discount_percentage,10.00,,10% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
3994026c-80b9-4a13-83e3-fa574ce78e90,6055d04d-a481-4259-87ff-a2a69476b8ff,discount_percentage,15.00,,15% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
755edda4-e010-4cfb-a31d-0a72bf6911f1,60674f88-96da-4f24-9805-c30c85503240,discount_percentage,20.00,,20% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
3b9fce6d-9174-4270-8aa4-ae4aab3e90ca,6417eca9-d824-4006-bf9d-d4fca40db599,discount_percentage,10.00,,10% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
87ea9825-add3-467d-834c-a45f004c66a7,85d02e0a-6d80-4553-a010-f17e84807fc0,discount_percentage,15.00,,15% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
2e5635ef-ffbc-42a9-9dac-b48317ed4f82,df7f9ac9-6e34-4406-a959-4f093fe53ae1,discount_percentage,20.00,,20% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
732266a6-158f-4254-b8ea-afeffd75461b,efe33794-cb4f-4004-b165-0ae6c9ea131a,discount_percentage,25.00,,25% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
5cc2860d-10fe-4fd4-8c00-c101e9bc8df5,6dc1450a-6265-498f-86ae-2f714abbd881,discount_percentage,10.00,,10% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
715b3bed-3144-4731-859e-7b083fa9b967,36a48f60-89de-43c4-9b25-6b751ddb1d86,discount_percentage,15.00,,15% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
d671bb63-1cba-4845-9881-140445a7c784,43bd26bb-4b37-4e12-9273-d0baf2dbd79d,discount_percentage,10.00,,10% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
1d7a31bb-2827-4f63-825d-794315bb8a2a,9f497fb7-4fb9-4d5f-84af-f117e0b4875e,discount_percentage,15.00,,15% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
1347c3c3-8dbd-4d29-b3eb-dc3bf3a8ebe5,da4849ca-61ce-4567-bfeb-dc73b3d477e9,discount_percentage,20.00,,20% discount on bookings,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
