id,branch_id,name,court_number,court_type,surface_type,description,capacity,has_lights,hourly_rate,status,created_at,updated_at,created_by,updated_by,deleted_at
520b3107-1225-41f8-b31c-1fe306982515,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Court 1,1,pickleball,outdoor,Professional pickleball court 1,4,0,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
0c7960d0-d972-4bd9-8c13-c8e7b0c9a3e8,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Court 2,2,pickleball,hard,Professional pickleball court 2,4,1,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
f2e80b1a-eaed-4df4-9076-b3207da99345,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Court 3,3,pickleball,clay,Professional pickleball court 3,4,0,25.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
f065cd83-eace-4628-bce6-c66ad6b0baca,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Court 4,4,pickleball,synthetic,Professional pickleball court 4,4,1,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
7616a9f7-999f-4516-9985-4eb0f27101c4,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Court 5,5,pickleball,indoor,Professional pickleball court 5,4,0,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
3d101d64-e4c8-494d-8226-bc95449a4bbf,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Court 1,1,pickleball,outdoor,Professional pickleball court 1,4,0,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
d5a5c742-6728-4f2e-a011-d975338dc346,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Court 2,2,pickleball,hard,Professional pickleball court 2,4,1,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
2e20a0e4-e83a-4e46-8c3a-fee70cd2fd06,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Court 3,3,pickleball,clay,Professional pickleball court 3,4,0,25.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
eefdcdb0-07fa-4e12-a873-259347a570e7,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Court 4,4,pickleball,synthetic,Professional pickleball court 4,4,1,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
fc9db703-ca7d-4369-86e3-2449fdb13388,eab23b60-2e47-4b22-a9ad-61036724db86,Court 1,1,pickleball,outdoor,Professional pickleball court 1,4,0,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
0c626b38-116f-49b3-970c-96e5860a8f34,eab23b60-2e47-4b22-a9ad-61036724db86,Court 2,2,pickleball,hard,Professional pickleball court 2,4,1,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
d1b5e151-ec32-4ebf-93b6-828d1700cc19,eab23b60-2e47-4b22-a9ad-61036724db86,Court 3,3,pickleball,clay,Professional pickleball court 3,4,0,25.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
acc59d1f-435d-445c-aa05-f8655a7637f8,eab23b60-2e47-4b22-a9ad-61036724db86,Court 4,4,pickleball,synthetic,Professional pickleball court 4,4,1,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
cd2e65be-9426-47d6-94ed-3fca85209b58,eab23b60-2e47-4b22-a9ad-61036724db86,Court 5,5,pickleball,indoor,Professional pickleball court 5,4,0,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
f3803e66-22e5-4351-bca8-ea3b9c6a428f,eab23b60-2e47-4b22-a9ad-61036724db86,Court 6,6,pickleball,outdoor,Professional pickleball court 6,4,1,25.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
255e8927-6c4b-4313-8e2e-8e239c685229,b7871655-3ad6-4a91-9122-c40bf86ce57a,Court 1,1,pickleball,outdoor,Professional pickleball court 1,4,0,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
8511ed59-7056-49aa-a84a-e92878a61387,b7871655-3ad6-4a91-9122-c40bf86ce57a,Court 2,2,pickleball,hard,Professional pickleball court 2,4,1,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
0e0f404b-4ac8-4e48-8b40-46ab0b35f430,b7871655-3ad6-4a91-9122-c40bf86ce57a,Court 3,3,pickleball,clay,Professional pickleball court 3,4,0,25.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
c6b5b1d2-46fe-4e39-a528-7644cf9fbe21,b7871655-3ad6-4a91-9122-c40bf86ce57a,Court 4,4,pickleball,synthetic,Professional pickleball court 4,4,1,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
bc308efe-e356-49c6-95af-44f775983f45,b7871655-3ad6-4a91-9122-c40bf86ce57a,Court 5,5,pickleball,indoor,Professional pickleball court 5,4,0,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
a18d20c7-de59-45c3-8f6d-525c6f64129e,b7871655-3ad6-4a91-9122-c40bf86ce57a,Court 6,6,pickleball,outdoor,Professional pickleball court 6,4,1,25.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
223950a5-963c-4ecd-ab02-f2cc0a0b9073,9482d0c5-1d4c-4189-8c98-45deba4320da,Court 1,1,pickleball,outdoor,Professional pickleball court 1,4,0,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
97b90c55-a229-47fe-a137-fe3485e5b935,9482d0c5-1d4c-4189-8c98-45deba4320da,Court 2,2,pickleball,hard,Professional pickleball court 2,4,1,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
24435d94-02d9-42c1-8c13-bc175e28a191,9482d0c5-1d4c-4189-8c98-45deba4320da,Court 3,3,pickleball,clay,Professional pickleball court 3,4,0,25.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
22d0ab35-d7a5-4311-b900-eae5805c9ad2,9482d0c5-1d4c-4189-8c98-45deba4320da,Court 4,4,pickleball,synthetic,Professional pickleball court 4,4,1,30.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
1f03634e-39cc-4fbe-af05-586ab699bb9b,9482d0c5-1d4c-4189-8c98-45deba4320da,Court 5,5,pickleball,indoor,Professional pickleball court 5,4,0,35.00,active,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
