id,company_id,name,slug,description,address_line1,address_line2,city,state,postal_code,country,latitude,longitude,timezone,status,created_at,updated_at,created_by,updated_by,deleted_at
339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,33869224-fd18-42b2-b27c-ba6f984995b8,Downtown Branch,pickleball-paradise-downtown,Downtown location of Pickleball Paradise,100 Downtown Street,Suite 200,San Francisco,CA,94100,USA,37.77490000,-122.41940000,America/Los_Angeles,active,2024-01-02 00:00:00,2026-01-04 14:58:04,acb3ab6c-dc81-48b6-bb98-725b07bbef57,acb3ab6c-dc81-48b6-bb98-725b07bbef57,
6f996f5c-9b87-401f-b8e3-3f3286a589f4,33869224-fd18-42b2-b27c-ba6f984995b8,Westside Branch,pickleball-paradise-westside,Westside location of Pickleball Paradise,110 Westside Street,,San Francisco,CA,94101,USA,37.78490000,-122.40940000,America/Los_Angeles,active,2024-01-02 01:00:00,2026-01-04 14:58:04,acb3ab6c-dc81-48b6-bb98-725b07bbef57,acb3ab6c-dc81-48b6-bb98-725b07bbef57,
eab23b60-2e47-4b22-a9ad-61036724db86,8463e550-2cb3-41a1-86f4-17ae589e073a,Main Street Branch,court-masters-main street,Main Street location of Court Masters,100 Main Street Street,Suite 200,Los Angeles,CA,94100,USA,37.87490000,-122.31940000,America/Los_Angeles,active,2024-01-03 00:00:00,2026-01-04 14:58:04,f07e882f-1d10-42a1-a5fb-fb8030178b4e,f07e882f-1d10-42a1-a5fb-fb8030178b4e,
b7871655-3ad6-4a91-9122-c40bf86ce57a,8463e550-2cb3-41a1-86f4-17ae589e073a,Riverside Branch,court-masters-riverside,Riverside location of Court Masters,110 Riverside Street,,Los Angeles,CA,94101,USA,37.88490000,-122.30940000,America/Los_Angeles,active,2024-01-03 01:00:00,2026-01-04 14:58:04,f07e882f-1d10-42a1-a5fb-fb8030178b4e,f07e882f-1d10-42a1-a5fb-fb8030178b4e,
9482d0c5-1d4c-4189-8c98-45deba4320da,8463e550-2cb3-41a1-86f4-17ae589e073a,Hilltop Branch,court-masters-hilltop,Hilltop location of Court Masters,120 Hilltop Street,Suite 200,Los Angeles,CA,94102,USA,37.89490000,-122.29940000,America/Los_Angeles,active,2024-01-03 02:00:00,2026-01-04 14:58:04,f07e882f-1d10-42a1-a5fb-fb8030178b4e,f07e882f-1d10-42a1-a5fb-fb8030178b4e,
32854e5d-bab8-41b7-9b33-13bcf30260cf,b411647a-a044-4395-b9ce-21ba61d2dc49,Central Branch,ace-sports-center-central,Central location of Ace Sports Center,100 Central Street,Suite 200,San Diego,CA,94100,USA,37.97490000,-122.21940000,America/Los_Angeles,active,2024-01-04 00:00:00,2026-01-04 14:58:04,931101f7-b06f-43fa-baed-4492444ce621,931101f7-b06f-43fa-baed-4492444ce621,
b200245d-aec6-421e-83b7-9f2968e76d78,b411647a-a044-4395-b9ce-21ba61d2dc49,Eastside Branch,ace-sports-center-eastside,Eastside location of Ace Sports Center,110 Eastside Street,,San Diego,CA,94101,USA,37.98490000,-122.20940000,America/Los_Angeles,active,2024-01-04 01:00:00,2026-01-04 14:58:04,931101f7-b06f-43fa-baed-4492444ce621,931101f7-b06f-43fa-baed-4492444ce621,
0c0c761a-4d95-4133-937b-ebc79f524919,b411647a-a044-4395-b9ce-21ba61d2dc49,Waterfront Branch,ace-sports-center-waterfront,Waterfront location of Ace Sports Center,120 Waterfront Street,Suite 200,San Diego,CA,94102,USA,37.99490000,-122.19940000,America/Los_Angeles,active,2024-01-04 02:00:00,2026-01-04 14:58:04,931101f7-b06f-43fa-baed-4492444ce621,931101f7-b06f-43fa-baed-4492444ce621,
99ab617a-c78e-49ed-9ed9-9395d5dba4b5,b411647a-a044-4395-b9ce-21ba61d2dc49,Branch 4 Branch,ace-sports-center-branch 4,Branch 4 location of Ace Sports Center,130 Branch 4 Street,,San Diego,CA,94103,USA,38.00490000,-122.18940000,America/Los_Angeles,active,2024-01-04 03:00:00,2026-01-04 14:58:04,931101f7-b06f-43fa-baed-4492444ce621,931101f7-b06f-43fa-baed-4492444ce621,
77924470-8f96-4bbf-9117-47e749386a7c,9cbcfedf-4455-4cfb-b412-d19cefd851ca,Plaza Branch,rally-point-courts-plaza,Plaza location of Rally Point Courts,100 Plaza Street,Suite 200,Oakland,CA,94100,USA,38.07490000,-122.11940000,America/Los_Angeles,active,2024-01-05 00:00:00,2026-01-04 14:58:04,ad64e426-7c81-47a2-877a-e6ac31667580,ad64e426-7c81-47a2-877a-e6ac31667580,
807b3d73-be68-42e0-9062-4d4cc0d226f4,9cbcfedf-4455-4cfb-b412-d19cefd851ca,Garden Branch,rally-point-courts-garden,Garden location of Rally Point Courts,110 Garden Street,,Oakland,CA,94101,USA,38.08490000,-122.10940000,America/Los_Angeles,active,2024-01-05 01:00:00,2026-01-04 14:58:04,ad64e426-7c81-47a2-877a-e6ac31667580,ad64e426-7c81-47a2-877a-e6ac31667580,
25b3e878-5f5e-4b2e-a404-a7eb2507e407,38838bd5-9249-449c-8118-473dec2d5057,Arena Branch,smash-zone-arena,Arena location of Smash Zone,100 Arena Street,Suite 200,Sacramento,CA,94100,USA,38.17490000,-122.01940000,America/Los_Angeles,active,2024-01-06 00:00:00,2026-01-04 14:58:04,4e1c8012-f079-4c5b-ba41-e7fe2d1afca8,4e1c8012-f079-4c5b-ba41-e7fe2d1afca8,
3b4fbdf4-13aa-4f83-8d90-3562412f43b1,38838bd5-9249-449c-8118-473dec2d5057,Stadium Branch,smash-zone-stadium,Stadium location of Smash Zone,110 Stadium Street,,Sacramento,CA,94101,USA,38.18490000,-122.00940000,America/Los_Angeles,active,2024-01-06 01:00:00,2026-01-04 14:58:04,4e1c8012-f079-4c5b-ba41-e7fe2d1afca8,4e1c8012-f079-4c5b-ba41-e7fe2d1afca8,
86cbbf39-d3e3-4bee-ada9-0fa567bf5987,38838bd5-9249-449c-8118-473dec2d5057,Pavilion Branch,smash-zone-pavilion,Pavilion location of Smash Zone,120 Pavilion Street,Suite 200,Sacramento,CA,94102,USA,38.19490000,-121.99940000,America/Los_Angeles,active,2024-01-06 02:00:00,2026-01-04 14:58:04,4e1c8012-f079-4c5b-ba41-e7fe2d1afca8,4e1c8012-f079-4c5b-ba41-e7fe2d1afca8,
