id,company_id,code,initial_amount,current_balance,currency,status,expires_at,purchased_by_user_id,assigned_to_user_id,purchase_payment_id,notes,created_at,updated_at,created_by,updated_by,deleted_at
df68f68c-a326-4499-80b1-b503553c905e,33869224-fd18-42b2-b27c-ba6f984995b8,GC338692240,25.00,25.00,USD,active,2027-01-04 14:58:04,e28da5bd-b8e1-4b86-9961-176a81349070,5fa0ced2-3c18-4462-8a8a-380a01640d7c,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
63c2cb15-044b-42ab-9791-7878dd5be710,33869224-fd18-42b2-b27c-ba6f984995b8,GC338692241,50.00,0.00,USD,redeemed,2027-01-04 14:58:04,2c596b2c-c4bb-406b-b394-1726c1c6ed68,27d56a5c-fb1a-492f-9d4a-8d294aa77209,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
28919ac5-9fa3-469e-910b-1f341811f76e,33869224-fd18-42b2-b27c-ba6f984995b8,GC338692242,75.00,75.00,USD,expired,2023-12-31 00:00:00,d6aae71b-665f-459c-b95c-316749044881,bf4779eb-0567-40fb-9a87-fd3f1098f642,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
c995da3c-bd4a-489f-9dfd-34325cc5b4b7,33869224-fd18-42b2-b27c-ba6f984995b8,GC338692243,100.00,40.00,USD,active,2027-01-04 14:58:04,27d56a5c-fb1a-492f-9d4a-8d294aa77209,0c8d5928-b338-4b61-ad4b-0a10b8b67109,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
833fb5b3-c5b1-451d-af8e-bf011749e954,33869224-fd18-42b2-b27c-ba6f984995b8,GC338692244,125.00,0.00,USD,redeemed,2027-01-04 14:58:04,a8cab4a1-9b6b-410f-9bb1-be8655fd0e90,792b565d-4d59-4f6c-b8ec-061ac1ea0d5c,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
918b30e6-66fe-4e79-b483-c5a4bee674e3,8463e550-2cb3-41a1-86f4-17ae589e073a,GC8463E5500,25.00,25.00,USD,active,2027-01-04 14:58:04,a56f1ea5-c01d-4b8e-8fdc-960ed4ba7108,2e4ec524-24dd-476e-b734-58cebd653129,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
02651d93-5bc4-41ef-ad98-61c97cc022a5,8463e550-2cb3-41a1-86f4-17ae589e073a,GC8463E5501,50.00,0.00,USD,redeemed,2027-01-04 14:58:04,bf4779eb-0567-40fb-9a87-fd3f1098f642,9d9e7173-9dd2-4702-838b-85fa5a6af303,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
16a4f456-7923-4205-9391-c73ba486c96f,8463e550-2cb3-41a1-86f4-17ae589e073a,GC8463E5502,75.00,75.00,USD,expired,2023-12-31 00:00:00,792b565d-4d59-4f6c-b8ec-061ac1ea0d5c,03535346-1aa1-4d82-9144-babfdd550287,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
3f2ec905-8ae8-44d0-bf5e-720d55493d75,8463e550-2cb3-41a1-86f4-17ae589e073a,GC8463E5503,100.00,40.00,USD,active,2027-01-04 14:58:04,ebef547f-47ba-4714-9089-09d0de16512d,e28da5bd-b8e1-4b86-9961-176a81349070,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
5bd34f75-adc0-4c45-9ef8-4f3f7d365aa4,8463e550-2cb3-41a1-86f4-17ae589e073a,GC8463E5504,125.00,0.00,USD,redeemed,2027-01-04 14:58:04,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,49b5f63f-9ed7-438b-8986-72f8a451ad3a,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
85a1ebee-b223-41db-b437-9ffd3e6f5f78,b411647a-a044-4395-b9ce-21ba61d2dc49,GCB411647A0,25.00,25.00,USD,active,2027-01-04 14:58:04,ee76ec60-a426-4586-8e6b-23f48e2f365d,792b565d-4d59-4f6c-b8ec-061ac1ea0d5c,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
dff88102-445b-48f5-bf72-1270e03b6b8e,b411647a-a044-4395-b9ce-21ba61d2dc49,GCB411647A1,50.00,0.00,USD,redeemed,2027-01-04 14:58:04,4d269e45-f35d-4367-829e-56f624d030e5,34560fb4-9168-4818-adfb-6aa53d84c5df,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
b0d41271-0e05-4467-8061-a11e83faea36,b411647a-a044-4395-b9ce-21ba61d2dc49,GCB411647A2,75.00,75.00,USD,expired,2023-12-31 00:00:00,f0af63da-b9a1-4cad-ab3a-cd733e31c40b,d6aae71b-665f-459c-b95c-316749044881,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
9604827a-2e58-43f2-9634-af6b46995d2d,b411647a-a044-4395-b9ce-21ba61d2dc49,GCB411647A3,100.00,40.00,USD,active,2027-01-04 14:58:04,b71410fd-9181-442e-8b58-c4e20056a4e7,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
aa727c63-cd61-4e91-83c2-aab53bc0cbbb,b411647a-a044-4395-b9ce-21ba61d2dc49,GCB411647A4,125.00,0.00,USD,redeemed,2027-01-04 14:58:04,bf4779eb-0567-40fb-9a87-fd3f1098f642,bf4779eb-0567-40fb-9a87-fd3f1098f642,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
93ecddb2-599b-4ffc-b13e-e569164068a4,9cbcfedf-4455-4cfb-b412-d19cefd851ca,GC9CBCFEDF0,25.00,25.00,USD,active,2027-01-04 14:58:04,124b8f6b-50bf-4b34-ae21-77650e54e7f4,d677eb77-bd52-4115-a8ff-e3b8cc2b123f,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
b1382078-f3cd-41f7-9f90-1ea1e02bc935,9cbcfedf-4455-4cfb-b412-d19cefd851ca,GC9CBCFEDF1,50.00,0.00,USD,redeemed,2027-01-04 14:58:04,00aac3cb-bef1-4302-a402-6fa357a5ba3b,85c52e93-6b90-4941-a3d0-edce1649da44,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
0a42c6d4-f710-45ea-8b0a-d1b2f6699ca6,9cbcfedf-4455-4cfb-b412-d19cefd851ca,GC9CBCFEDF2,75.00,75.00,USD,expired,2023-12-31 00:00:00,6ef9785c-5af9-478a-98ec-a58ef9b6125c,85c52e93-6b90-4941-a3d0-edce1649da44,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
18b59834-94fb-4a5c-a490-6ec8b2c6cf17,9cbcfedf-4455-4cfb-b412-d19cefd851ca,GC9CBCFEDF3,100.00,40.00,USD,active,2027-01-04 14:58:04,b0147c72-5da8-47fb-b7b0-2b1f2eb8bad1,12d52048-fa66-496f-a695-3990d45b6d58,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
ca1c395c-afc3-42e1-87d5-fc70ddae6583,9cbcfedf-4455-4cfb-b412-d19cefd851ca,GC9CBCFEDF4,125.00,0.00,USD,redeemed,2027-01-04 14:58:04,ec76828e-1a34-4201-90b3-2a1002fe8496,4001a8e0-3ac9-4705-920a-0b75943616a3,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
8270007e-489a-4773-b746-1a1c5e3dfe8b,38838bd5-9249-449c-8118-473dec2d5057,GC38838BD50,25.00,25.00,USD,active,2027-01-04 14:58:04,7d574358-e456-4bc0-bd6e-737a4e660a59,12d52048-fa66-496f-a695-3990d45b6d58,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
a406e0ae-3aa1-4fe4-b446-296f2bf0ad8d,38838bd5-9249-449c-8118-473dec2d5057,GC38838BD51,50.00,0.00,USD,redeemed,2027-01-04 14:58:04,49b5f63f-9ed7-438b-8986-72f8a451ad3a,5550badf-faab-4cff-9298-d12201b7e2f1,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
77c7be86-b131-4810-9d40-aeedd09c832e,38838bd5-9249-449c-8118-473dec2d5057,GC38838BD52,75.00,75.00,USD,expired,2023-12-31 00:00:00,e28da5bd-b8e1-4b86-9961-176a81349070,03535346-1aa1-4d82-9144-babfdd550287,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
8b0a84f0-4823-4b3f-bf91-c84634c703d5,38838bd5-9249-449c-8118-473dec2d5057,GC38838BD53,100.00,40.00,USD,active,2027-01-04 14:58:04,73c14063-593f-4f70-bc89-91226848617a,00aac3cb-bef1-4302-a402-6fa357a5ba3b,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
3a6bad96-ac77-41e0-a619-fd75eee8c4cd,38838bd5-9249-449c-8118-473dec2d5057,GC38838BD54,125.00,0.00,USD,redeemed,2027-01-04 14:58:04,9ede05ba-e8ba-4e1c-a763-6eb938674bd4,4001a8e0-3ac9-4705-920a-0b75943616a3,,,2024-01-26 00:00:00,2026-01-04 14:58:04,,,
