id,company_id,name,service_type,description,base_price,currency,is_active,created_at,updated_at,created_by,updated_by,deleted_at
595b4a67-966e-42b6-b52a-57d7819ecf35,33869224-fd18-42b2-b27c-ba6f984995b8,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
1bd9a438-266e-4869-932f-3a77f6db08e1,33869224-fd18-42b2-b27c-ba6f984995b8,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
25404fe4-0c4d-433c-9946-04595ad991a2,8463e550-2cb3-41a1-86f4-17ae589e073a,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
dec171b2-fe8c-480e-9663-407bf222d48f,8463e550-2cb3-41a1-86f4-17ae589e073a,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
7659d696-a77f-4a60-91e7-cfed42bef7c4,8463e550-2cb3-41a1-86f4-17ae589e073a,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,b411647a-a044-4395-b9ce-21ba61d2dc49,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
e017e74c-c922-4309-9db0-edf14eed7e01,b411647a-a044-4395-b9ce-21ba61d2dc49,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
a8fc8cbe-6e41-420c-ac78-228e04cdbd9d,b411647a-a044-4395-b9ce-21ba61d2dc49,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
e74dcc8f-3373-4c3a-aa6a-477686c6cc0d,b411647a-a044-4395-b9ce-21ba61d2dc49,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
648bf2b5-5e36-4f47-9620-ca5c86e74730,9cbcfedf-4455-4cfb-b412-d19cefd851ca,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
a2e49d2e-d950-45cf-851f-d0b513174316,9cbcfedf-4455-4cfb-b412-d19cefd851ca,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
7a387614-4afe-4ca3-8b0c-996cd116a510,38838bd5-9249-449c-8118-473dec2d5057,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
b512b24b-e584-4aaf-9d9a-0ba9919d17de,38838bd5-9249-449c-8118-473dec2d5057,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
d7a500cd-5412-4f11-880c-8a428b37e201,38838bd5-9249-449c-8118-473dec2d5057,Court Booking,court_booking,Hourly court rental,25.00,USD,1,2024-01-11 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
