id,actor_user_id,action,entity_type,entity_id,before_snapshot,after_snapshot,ip_address,user_agent,metadata,created_at
cda840e5-e9e6-47d1-bc0f-5d9a8af9a7b7,b0147c72-5da8-47fb-b7b0-2b1f2eb8bad1,branch.view,branch,18fd31e7-afdc-4c8c-9f74-4f6176767406,,,192.168.1.14,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""branch.view"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""33869224-fd18-42b2-b27c-ba6f984995b8"",""branch_id"":""6f996f5c-9b87-401f-b8e3-3f3286a589f4"",""page_path"":""/app/bookings"",""device_type"":""mobile"",""properties"":{""test"":""data""}}",2026-01-04 14:58:04
9e01baa0-4412-4147-aef2-71dbe82f8ad4,d5f3704a-8387-41d1-a150-eeffc52d5a45,delete,branch,9869b042-2a44-4c8e-88c4-e3246dc1d514,,,192.168.1.58,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""delete"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""8463e550-2cb3-41a1-86f4-17ae589e073a"",""branch_id"":""b7871655-3ad6-4a91-9122-c40bf86ce57a"",""page_path"":""/app/bookings"",""device_type"":""desktop"",""properties"":{""test"":""data""}}",2026-01-03 14:58:04
8278027d-5a38-48c8-b0d2-6db7e65e3268,5dc8a3af-28d1-4e8c-8f3a-7a3835e0b78f,auth.logout,branch,3555a71b-2a26-4485-a4eb-49a0292e2b46,,,192.168.1.137,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""auth.logout"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""9cbcfedf-4455-4cfb-b412-d19cefd851ca"",""branch_id"":""77924470-8f96-4bbf-9117-47e749386a7c"",""page_path"":""/app/bookings"",""device_type"":""mobile"",""properties"":{""test"":""data""}}",2026-01-02 14:58:04
c13b596a-203c-4a62-82b6-9a6eed422acf,235316ca-fcdd-4bd5-950f-d33a1f6c303c,payment.confirmed,payment,17a77bd1-d953-4b2e-adc5-e8ddeae771cb,,,192.168.1.207,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""payment.confirmed"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""b411647a-a044-4395-b9ce-21ba61d2dc49"",""branch_id"":""b200245d-aec6-421e-83b7-9f2968e76d78"",""page_path"":""/app/bookings"",""device_type"":""mobile"",""properties"":{""test"":""data""}}",2026-01-01 14:58:04
c91cb324-f5a2-47d4-a340-4753b4c365ab,c062bd5e-32fa-49b5-9c96-20c00f7c0099,update,payment,4f22d00a-6a6a-4a53-b3e1-4ebbb1bfc1f1,,,192.168.1.123,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""update"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""9cbcfedf-4455-4cfb-b412-d19cefd851ca"",""branch_id"":""77924470-8f96-4bbf-9117-47e749386a7c"",""page_path"":""/app/bookings"",""device_type"":""tablet"",""properties"":{""test"":""data""}}",2025-12-31 14:58:04
21b72262-f11b-46e9-974b-1227697ddd64,23adaeda-61a3-464f-b460-80193d1d63da,delete,company,704fb4f9-f515-4203-b8cd-1149ad6b2713,,,192.168.1.39,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""delete"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""8463e550-2cb3-41a1-86f4-17ae589e073a"",""branch_id"":""eab23b60-2e47-4b22-a9ad-61036724db86"",""page_path"":""/app/bookings"",""device_type"":""mobile"",""properties"":{""test"":""data""}}",2025-12-30 14:58:04
d39e07f0-eb82-42a9-94e2-19088a7c55a1,39c9cff1-caee-48a5-9792-4120908a0a88,payment.confirmed,membership,51892470-c83c-4386-b130-cfa582bc975a,,,192.168.1.85,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""payment.confirmed"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""b411647a-a044-4395-b9ce-21ba61d2dc49"",""branch_id"":""99ab617a-c78e-49ed-9ed9-9395d5dba4b5"",""page_path"":""/app/bookings"",""device_type"":""mobile"",""properties"":{""test"":""data""}}",2025-12-29 14:58:04
6444bcda-10a9-4e3c-bfaa-17cecbc7978a,23adaeda-61a3-464f-b460-80193d1d63da,auth.login,branch,785232ce-4dd4-444d-b00c-95346dbe8eef,,,192.168.1.223,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""auth.login"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""b411647a-a044-4395-b9ce-21ba61d2dc49"",""branch_id"":""32854e5d-bab8-41b7-9b33-13bcf30260cf"",""page_path"":""/app/bookings"",""device_type"":""desktop"",""properties"":{""test"":""data""}}",2025-12-28 14:58:04
38f31d20-9a46-44c0-a6e4-e20fc997d2fa,2312613b-91cc-4f99-95dd-dda6820a8e5a,branch.view,user,61dd3622-586f-4bd1-b491-46fcc07dec89,,,192.168.1.155,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""branch.view"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""9cbcfedf-4455-4cfb-b412-d19cefd851ca"",""branch_id"":""77924470-8f96-4bbf-9117-47e749386a7c"",""page_path"":""/app/bookings"",""device_type"":""tablet"",""properties"":{""test"":""data""}}",2025-12-27 14:58:04
717c0e1b-323c-4aad-a6d1-86872d3f08cd,23adaeda-61a3-464f-b460-80193d1d63da,branch.view,branch,83f7a5c8-edff-48b3-be6f-8210bcfd62e6,,,192.168.1.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""branch.view"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""9cbcfedf-4455-4cfb-b412-d19cefd851ca"",""branch_id"":""807b3d73-be68-42e0-9062-4d4cc0d226f4"",""page_path"":""/app/bookings"",""device_type"":""mobile"",""properties"":{""test"":""data""}}",2025-12-26 14:58:04
d279dc4c-39e0-4395-8c06-d385e21f59ed,1da14c32-6413-49ab-a3d9-27eedaca947b,delete,payment,e5dc431c-8418-48fa-96b5-50980621ddbc,,,192.168.1.9,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""event_name"":""delete"",""event_time"":""2026-01-04 14:58:04"",""company_id"":""33869224-fd18-42b2-b27c-ba6f984995b8"",""branch_id"":""6f996f5c-9b87-401f-b8e3-3f3286a589f4"",""page_path"":""/app/bookings"",""device_type"":""mobile"",""properties"":{""test"":""data""}}",2025-12-25 14:58:04
