id,user_id,company_id,booking_id,invoice_id,membership_cycle_id,amount,currency,payment_method,payment_status,provider,provider_transaction_id,provider_metadata,failure_reason,paid_at,created_at,updated_at,created_by,updated_by,deleted_at
e8d289cf-6e42-4b26-9c9f-e0238c203ff5,b20dc445-8a42-4694-a7e0-c7df549138cc,8463e550-2cb3-41a1-86f4-17ae589e073a,5fe1635b-4a94-42b1-82ae-9f473bc3837e,,,27.00,USD,credit_card,succeeded,stripe,txn_64de60aaf8294957a26086f58f79e999,{},,2026-01-27 08:00:00,2026-01-26 08:00:00,2026-01-04 14:58:04,,,
e471a81c-9732-42a7-b455-fc6dab08b15c,c062bd5e-32fa-49b5-9c96-20c00f7c0099,9cbcfedf-4455-4cfb-b412-d19cefd851ca,a2423409-d5cc-469c-89e7-532a1db37fef,,,34.30,USD,wallet,succeeded,stripe,txn_3a9ebbfcbf9e4071859cb00e60162dcc,{},,2026-02-02 07:00:00,2026-02-01 07:00:00,2026-01-04 14:58:04,,,
7bb640d9-ccdd-4a36-a950-bf63af21616c,9ede05ba-e8ba-4e1c-a763-6eb938674bd4,9cbcfedf-4455-4cfb-b412-d19cefd851ca,c98bb858-cd8d-4e21-96ba-9d7a52149831,,,49.00,USD,credit_card,succeeded,stripe,txn_034dfa13844d44e1818ed024744910e3,{},,2026-01-23 03:00:00,2026-01-22 03:00:00,2026-01-04 14:58:04,,,
7526bfbb-0846-4a2c-aa1d-0bc57d5b8901,f81b5321-6858-4d52-a4ee-660efcf5ec36,9cbcfedf-4455-4cfb-b412-d19cefd851ca,66093ebd-b383-4a9f-9369-3f3dcefe04fd,,,58.80,USD,credit_card,succeeded,stripe,txn_f01c9dc6254543778a6f65b6137fdc33,{},,2025-12-15 11:00:00,2025-12-14 11:00:00,2026-01-04 14:58:04,,,
6940078b-a0ca-4275-9339-88e3f8b5ccb0,38c3b73d-5884-4005-9e41-0acc635fefe1,33869224-fd18-42b2-b27c-ba6f984995b8,b366e113-54c0-47ce-acb1-acbf8c24db7b,,,58.80,USD,debit_card,succeeded,stripe,txn_94f3338c6c694e1c83cf06dd076cab9a,{},,2025-12-24 07:00:00,2025-12-23 07:00:00,2026-01-04 14:58:04,,,
4a9a4a1f-69ad-463f-ac64-16770894f5ee,d77da917-ae22-454f-92b4-02df880eeace,b411647a-a044-4395-b9ce-21ba61d2dc49,ca30f01a-acb8-457e-ae70-8855503067e9,,,64.80,USD,debit_card,succeeded,stripe,txn_675ce99b53dc4d8a8e92bf1f0341c8db,{},,2025-12-22 01:00:00,2025-12-21 01:00:00,2026-01-04 14:58:04,,,
d929a8f8-36a4-4b4a-acdb-c1ebe07a8655,52efba3d-138f-4b14-b601-2b6af84884d7,38838bd5-9249-449c-8118-473dec2d5057,13a5c01e-d87c-4405-97ee-bc31aff019dc,,,56.70,USD,credit_card,succeeded,stripe,txn_0e518574e9734cbd95d3257ad8e74991,{},,2026-01-07 02:00:00,2026-01-06 02:00:00,2026-01-04 14:58:04,,,
3eaf7b34-1c73-4c37-8cc7-97adfe39e9e5,e28da5bd-b8e1-4b86-9961-176a81349070,b411647a-a044-4395-b9ce-21ba61d2dc49,ef56e824-f925-4bbb-8d7e-ba30db6a5b07,,,27.00,USD,credit_card,succeeded,stripe,txn_4ce415aef2b34ff4a3ef4ff5e9dfc205,{},,2026-02-21 00:00:00,2026-02-20 00:00:00,2026-01-04 14:58:04,,,
bd236af2-7b3a-4a5d-be0e-620ad859bf32,124b8f6b-50bf-4b34-ae21-77650e54e7f4,9cbcfedf-4455-4cfb-b412-d19cefd851ca,70c2df92-3c79-4462-96ea-054b43a3cde1,,,37.80,USD,wallet,succeeded,stripe,txn_1a970d762e5e408b878c78bca65d17a8,{},,2026-02-01 08:00:00,2026-01-31 08:00:00,2026-01-04 14:58:04,,,
113555b0-ebb6-4f8a-8664-c3fe71ff77ed,73c14063-593f-4f70-bc89-91226848617a,33869224-fd18-42b2-b27c-ba6f984995b8,ea44754e-2b4f-4835-987e-0e33a3bebf79,,,56.70,USD,credit_card,succeeded,stripe,txn_bf6b10f8ec69470d81f51442b4ab8109,{},,2026-02-27 10:00:00,2026-02-26 10:00:00,2026-01-04 14:58:04,,,
