id,branch_id,contact_type,contact_value,is_primary,label,created_at,updated_at,created_by,updated_by,deleted_at
4529b3a2-850f-47a5-a187-fd8564861b3e,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,phone,+1555001001,1,Main Office,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
d5c13e3b-80d8-492b-abfa-a09b61001fbe,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,email,info@pickleballparadise-downtown.com,0,General Inquiries,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
2dba6a2f-dae4-4dfb-a35e-d5fa4966b554,6f996f5c-9b87-401f-b8e3-3f3286a589f4,phone,+1555001002,1,Main Office,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
6ddd09e0-7685-49f6-a744-62c3afd1c5b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,email,info@pickleballparadise-westside.com,0,General Inquiries,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
f4fbfc9a-8c3b-41fa-9464-780ccc6fe1fc,eab23b60-2e47-4b22-a9ad-61036724db86,phone,+1555002001,1,Main Office,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
91907752-cc0e-4489-b391-13220ef3000d,eab23b60-2e47-4b22-a9ad-61036724db86,email,info@courtmasters-main street.com,0,General Inquiries,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
cee0b517-267b-4569-a6ba-37078f760897,b7871655-3ad6-4a91-9122-c40bf86ce57a,phone,+1555002002,1,Main Office,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
828b7d37-3dc2-47e9-9d21-b3812035a553,b7871655-3ad6-4a91-9122-c40bf86ce57a,email,info@courtmasters-riverside.com,0,General Inquiries,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
7a9a442a-9e81-46cd-be97-412294eef859,9482d0c5-1d4c-4189-8c98-45deba4320da,phone,+1555002003,1,Main Office,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
bc7ad24b-f4cc-4762-820b-5cedea542132,9482d0c5-1d4c-4189-8c98-45deba4320da,email,info@courtmasters-hilltop.com,0,General Inquiries,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
4ff5f196-98d6-4e24-ae47-a753dbbe2585,32854e5d-bab8-41b7-9b33-13bcf30260cf,phone,+1555003001,1,Main Office,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
68f22fc2-1bc8-418c-bf77-995238abe4ac,32854e5d-bab8-41b7-9b33-13bcf30260cf,email,info@acesportscenter-central.com,0,General Inquiries,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
86587333-b0b4-4c39-a849-89c0dc283d52,b200245d-aec6-421e-83b7-9f2968e76d78,phone,+1555003002,1,Main Office,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
2cb66f4a-052f-4947-9a5c-15f0b8339445,b200245d-aec6-421e-83b7-9f2968e76d78,email,info@acesportscenter-eastside.com,0,General Inquiries,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
07471430-beb9-41cf-8898-dbc6d9793f56,0c0c761a-4d95-4133-937b-ebc79f524919,phone,+1555003003,1,Main Office,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
83fe75ec-9b65-457b-a731-bb037bb1bb1c,0c0c761a-4d95-4133-937b-ebc79f524919,email,info@acesportscenter-waterfront.com,0,General Inquiries,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
6b06cef1-06cf-4295-a696-0f0ee8080cbf,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,phone,+1555003004,1,Main Office,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
ffc6825d-3a3e-4935-abaa-65889cceab7a,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,email,info@acesportscenter-branch 4.com,0,General Inquiries,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
37e6078b-d262-4202-aa4d-8fcbebc96c48,77924470-8f96-4bbf-9117-47e749386a7c,phone,+1555004001,1,Main Office,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
9459afcf-ee7d-4484-a0e5-6cfb13c6f4c5,77924470-8f96-4bbf-9117-47e749386a7c,email,info@rallypointcourts-plaza.com,0,General Inquiries,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
cc87102b-1a83-40a9-9ec1-2068610149b8,807b3d73-be68-42e0-9062-4d4cc0d226f4,phone,+1555004002,1,Main Office,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
9fd38dff-f23e-46a0-8f28-0045f8a7684e,807b3d73-be68-42e0-9062-4d4cc0d226f4,email,info@rallypointcourts-garden.com,0,General Inquiries,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
758b37ab-7f42-4ac5-9007-1103ca7bcc9d,25b3e878-5f5e-4b2e-a404-a7eb2507e407,phone,+1555005001,1,Main Office,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
c315352d-3572-42cb-b54a-64bb18dc8e84,25b3e878-5f5e-4b2e-a404-a7eb2507e407,email,info@smashzone-arena.com,0,General Inquiries,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
f7671a01-b8b4-4080-9e14-b1253d2069b1,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,phone,+1555005002,1,Main Office,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
e4338728-bdaa-4f6c-ab3d-6522d35b8464,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,email,info@smashzone-stadium.com,0,General Inquiries,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
894ba292-f3f6-4c15-ab42-0e6114ec65e8,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,phone,+1555005003,1,Main Office,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
d8f0624b-9fba-4f6c-ae72-f4f92a097c64,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,email,info@smashzone-pavilion.com,0,General Inquiries,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
