id,branch_id,user_id,position,is_manager,assigned_at,assigned_by,is_active,created_at,updated_at,created_by,updated_by,deleted_at
7021ab69-4902-4205-8921-6f3eafc9e6d6,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,b41650a4-bce6-4abe-977a-118a9b6d2be0,Branch Manager,1,2024-01-02 00:00:00,acb3ab6c-dc81-48b6-bb98-725b07bbef57,1,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
a42c4f78-7f3e-4f4d-90f8-fd3d1659c74a,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,de0bc3d7-635b-4f2f-8d82-45e931f6b95e,Front Desk,0,2024-01-02 00:00:00,acb3ab6c-dc81-48b6-bb98-725b07bbef57,1,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
822457ae-1f56-4a26-89e9-b2c0f74fc103,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,31765b77-7ae6-4c23-915e-61742a22f055,Front Desk,0,2024-01-02 00:00:00,acb3ab6c-dc81-48b6-bb98-725b07bbef57,1,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
c9c26d58-fc32-4a4b-91c5-4852001182f0,6f996f5c-9b87-401f-b8e3-3f3286a589f4,8eb89a75-6ad7-46a4-9c5a-bd33160e1db2,Branch Manager,1,2024-01-02 00:00:00,acb3ab6c-dc81-48b6-bb98-725b07bbef57,1,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
23f540a1-daf2-4ad9-9ef7-49c50654898a,6f996f5c-9b87-401f-b8e3-3f3286a589f4,09370ff1-0b7c-4cb9-a360-40014f8333dd,Branch Manager,1,2024-01-02 00:00:00,acb3ab6c-dc81-48b6-bb98-725b07bbef57,1,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
a027c011-3410-410d-8e41-256159181579,6f996f5c-9b87-401f-b8e3-3f3286a589f4,55983da3-8c8d-4f8e-80bf-49f8bc64c642,Front Desk,0,2024-01-02 00:00:00,acb3ab6c-dc81-48b6-bb98-725b07bbef57,1,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
f8d39de4-afc3-44a9-88e8-5727ed97df6f,eab23b60-2e47-4b22-a9ad-61036724db86,611ee51c-843a-4380-a658-972172047218,Branch Manager,1,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
ab2c4dc7-a74d-4131-9355-1caa9ec61f20,eab23b60-2e47-4b22-a9ad-61036724db86,48507304-cd37-4113-8571-c5f5a9b7f15c,Front Desk,0,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
8d22c38d-8e10-48f1-8c3f-1477a76e437f,eab23b60-2e47-4b22-a9ad-61036724db86,5d8b43b3-fc1b-4ad5-9f7f-2bc031147f06,Front Desk,0,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
d1a443f7-a008-438b-9c81-6de4db598548,b7871655-3ad6-4a91-9122-c40bf86ce57a,1d831502-90df-40ff-b899-64d7631186e7,Branch Manager,1,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
6d438a44-f208-42e4-a121-29195a9fff35,b7871655-3ad6-4a91-9122-c40bf86ce57a,8cca4368-0d3b-4fc8-81be-970d1912df78,Branch Manager,1,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
763cbbf9-ead3-44f4-90eb-3f6e8c705f28,b7871655-3ad6-4a91-9122-c40bf86ce57a,308fa792-6418-448f-951e-e34adca19cb4,Front Desk,0,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
2f0f9979-f650-4916-a8e2-b96fb1836654,9482d0c5-1d4c-4189-8c98-45deba4320da,8645bc13-ad3b-46ca-ba3a-e7321e79cf0b,Branch Manager,1,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
4211715d-72c3-40af-a641-1d07114a9e9f,9482d0c5-1d4c-4189-8c98-45deba4320da,ae4b80a0-8843-4b0b-8909-3276c653a096,Front Desk,0,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
53d7ad4e-a7df-4614-8bb9-bd1273be00f1,9482d0c5-1d4c-4189-8c98-45deba4320da,2cb035f0-f17d-4f8a-be27-18d5da39a368,Front Desk,0,2024-01-03 00:00:00,f07e882f-1d10-42a1-a5fb-fb8030178b4e,1,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
a47ec777-a1e0-4398-a0e5-12bb169312ec,32854e5d-bab8-41b7-9b33-13bcf30260cf,42ac8d59-ee85-4271-b8c7-7e858b7f025d,Branch Manager,1,2024-01-04 00:00:00,931101f7-b06f-43fa-baed-4492444ce621,1,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
