id,court_id,feature_name,feature_value,created_at,updated_at,created_by,updated_by,deleted_at
4b58ba32-c8c2-4115-91f4-c44406866d14,520b3107-1225-41f8-b31c-1fe306982515,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
838f03b2-7512-4f6c-8ab0-8ddfa094d89c,520b3107-1225-41f8-b31c-1fe306982515,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
5420eddd-6b75-499c-8620-2c8489b5de16,520b3107-1225-41f8-b31c-1fe306982515,Scoreboard,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
5e98bbd7-0217-4580-8bd1-cead13b62306,0c7960d0-d972-4bd9-8c13-c8e7b0c9a3e8,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
450f955c-c569-4371-b2e1-12deb4872eac,0c7960d0-d972-4bd9-8c13-c8e7b0c9a3e8,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
4b4f19cf-b46e-492f-b8b7-9dc8b63640af,f2e80b1a-eaed-4df4-9076-b3207da99345,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
92de4c9c-f69f-4c7e-8770-daa2fde3dbb5,f2e80b1a-eaed-4df4-9076-b3207da99345,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
addf8ea2-1cfd-4394-9476-0a390b88ab64,f2e80b1a-eaed-4df4-9076-b3207da99345,Scoreboard,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
ddb92043-67a3-4949-a2f8-d8a28d60deb4,f065cd83-eace-4628-bce6-c66ad6b0baca,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
32ebafdd-718c-475f-af00-f5555ef2d2db,f065cd83-eace-4628-bce6-c66ad6b0baca,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
f243db94-5302-4f99-84d1-3bf4f6a3e658,7616a9f7-999f-4516-9985-4eb0f27101c4,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
85c86ddf-b415-44df-ae71-3f6810032523,7616a9f7-999f-4516-9985-4eb0f27101c4,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
95e7bac2-7645-4ddc-a319-79e5555cf2d3,7616a9f7-999f-4516-9985-4eb0f27101c4,Scoreboard,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
e4115c21-e9c6-4bd8-a475-332511aad9de,3d101d64-e4c8-494d-8226-bc95449a4bbf,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
a78c8c17-232e-4207-a84d-d0fc08a7e9a0,3d101d64-e4c8-494d-8226-bc95449a4bbf,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
b78276d2-4ac0-465c-9049-e2c6b19d954a,3d101d64-e4c8-494d-8226-bc95449a4bbf,Scoreboard,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
08244f71-9750-485c-b451-1e35d2dcb331,d5a5c742-6728-4f2e-a011-d975338dc346,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
5c818f40-2cd5-4c52-ba5c-3247bdef3ff7,d5a5c742-6728-4f2e-a011-d975338dc346,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
4119767d-fda5-47ee-aad1-3acab19ab4c7,2e20a0e4-e83a-4e46-8c3a-fee70cd2fd06,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
d7640872-c49b-40e7-bb5a-13936c0386f4,2e20a0e4-e83a-4e46-8c3a-fee70cd2fd06,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
f54db169-d3cb-4561-be65-55e3fdce4faa,2e20a0e4-e83a-4e46-8c3a-fee70cd2fd06,Scoreboard,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
3007cd8a-28a5-4981-815c-b27e5253c184,eefdcdb0-07fa-4e12-a873-259347a570e7,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
a6bc1e85-3fdb-4216-b4f5-c9e9af3b8261,eefdcdb0-07fa-4e12-a873-259347a570e7,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
98758399-19fe-46b9-aa10-89867037b4bb,fc9db703-ca7d-4369-86e3-2449fdb13388,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
8b722fc9-3f94-4e07-95d2-244a9deb92bd,fc9db703-ca7d-4369-86e3-2449fdb13388,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
7f6f197a-a435-4a83-9bb5-6f88f422d2f4,fc9db703-ca7d-4369-86e3-2449fdb13388,Scoreboard,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
40a41c9e-2dcd-426c-a8ea-577fc148bf6f,0c626b38-116f-49b3-970c-96e5860a8f34,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
ed87ac35-870f-45a1-91af-e71e2e3889f1,0c626b38-116f-49b3-970c-96e5860a8f34,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
edbf94da-25d4-4208-ba8a-b0c7288cae66,d1b5e151-ec32-4ebf-93b6-828d1700cc19,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
e0c72324-5fcd-4055-a7d5-f3c1403c11bc,d1b5e151-ec32-4ebf-93b6-828d1700cc19,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
d846c834-99ef-4a55-aade-96da69d55313,d1b5e151-ec32-4ebf-93b6-828d1700cc19,Scoreboard,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
77f788de-ffae-411c-bac5-fcfd6fbd7db9,acc59d1f-435d-445c-aa05-f8655a7637f8,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
0858e6e0-3036-4424-903c-b05996ab011b,acc59d1f-435d-445c-aa05-f8655a7637f8,Net,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
1972ef56-5e89-4dee-bc38-070ac3c18f29,cd2e65be-9426-47d6-94ed-3fca85209b58,Lighting,Yes,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
