id,role_id,permission_id,created_at,updated_at,created_by,updated_by,deleted_at
0f7ff436-181d-487d-84c1-33817de2a767,2b1a8391-4d89-4120-8db2-cf22963cc6a3,9488b5d9-5b37-4c36-be74-8dd5c973e5d6,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
cbf8fa7f-2af9-442d-8b86-a22d886c799f,2b1a8391-4d89-4120-8db2-cf22963cc6a3,d5a2ed03-e72b-4bfd-b4e4-ef367b50a3c2,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
326270a2-5123-4b8b-aaac-d917c2db275a,2b1a8391-4d89-4120-8db2-cf22963cc6a3,aa8d8cfa-5652-4fef-a48c-ff5047c03270,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
3d609c0b-dd30-4841-a21c-1760193aba38,2b1a8391-4d89-4120-8db2-cf22963cc6a3,d97ec52c-6d77-4896-a360-5b09ba223f7a,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
9393c54c-251e-4277-b327-e915f983015d,2b1a8391-4d89-4120-8db2-cf22963cc6a3,162361f9-b7fc-4c59-bfea-14613d81c343,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
3662540c-e960-4705-88de-47fb39d6739a,2b1a8391-4d89-4120-8db2-cf22963cc6a3,281b3131-6680-4cc0-865b-3dc9e1fd41a2,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
bf143089-df6f-4dd6-91e2-560ff0f5355f,2b1a8391-4d89-4120-8db2-cf22963cc6a3,7729af3b-55ef-41a4-b8ea-6a3bc77ff5f8,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
1db1ebc6-3678-45e6-af1e-5683d187ae18,2b1a8391-4d89-4120-8db2-cf22963cc6a3,66c1a505-acb8-4c6d-8f26-7775cf1b8bb0,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
88a11c23-34dd-44e3-9e15-35105dcc327d,2b1a8391-4d89-4120-8db2-cf22963cc6a3,343eaf36-8959-4c5b-8b38-37a80a877826,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
d5ad2b02-68d9-41af-880b-1af545bded2b,2b1a8391-4d89-4120-8db2-cf22963cc6a3,0a0e775b-8d54-41c9-befe-4756db34dbe1,2024-01-01 00:00:00,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,23adaeda-61a3-464f-b460-80193d1d63da,
