id,company_id,branch_id,name,description,discount_type,discount_value,min_purchase_amount,max_discount_amount,applicability,service_id,start_date,end_date,day_of_week_mask,time_window_start,time_window_end,usage_limit_per_user,total_usage_limit,current_usage_count,can_stack_with_membership,is_active,created_at,updated_at,created_by,updated_by,deleted_at
3cdc65b6-0bb3-4ed4-b3c9-f5d81e871eed,33869224-fd18-42b2-b27c-ba6f984995b8,,Summer Sale,Summer Sale promotion,percent_off,15.00,50.00,25.00,bookings,,2024-06-01,2024-08-31,,,,5,100,4,0,1,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
7f24354d-2f3e-4e34-8095-94455941d51e,33869224-fd18-42b2-b27c-ba6f984995b8,,Winter Special,Winter Special promotion,percent_off,15.00,50.00,25.00,bookings,,2023-12-01,2023-12-31,,,,5,100,100,0,0,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
da2bb383-4a8c-43e8-880d-43834d72302f,8463e550-2cb3-41a1-86f4-17ae589e073a,,Summer Sale,Summer Sale promotion,percent_off,15.00,50.00,25.00,bookings,,2024-06-01,2024-08-31,,,,5,100,21,0,1,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
9b5930a9-fdfd-4090-8806-e0fc15f19af2,8463e550-2cb3-41a1-86f4-17ae589e073a,,Winter Special,Winter Special promotion,percent_off,15.00,50.00,25.00,bookings,,2023-12-01,2023-12-31,,,,5,100,100,0,0,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
f9854bed-68b0-4c98-8f05-237621ef6c4c,b411647a-a044-4395-b9ce-21ba61d2dc49,,Summer Sale,Summer Sale promotion,percent_off,15.00,50.00,25.00,bookings,,2024-06-01,2024-08-31,,,,5,100,15,0,1,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
be3537d2-429f-4c07-a2ba-26e778be6fa5,b411647a-a044-4395-b9ce-21ba61d2dc49,,Winter Special,Winter Special promotion,percent_off,15.00,50.00,25.00,bookings,,2023-12-01,2023-12-31,,,,5,100,100,0,0,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
01fb736d-6a1f-402f-ae25-7a20f19da9d2,9cbcfedf-4455-4cfb-b412-d19cefd851ca,,Summer Sale,Summer Sale promotion,percent_off,15.00,50.00,25.00,bookings,,2024-06-01,2024-08-31,,,,5,100,40,0,1,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
ba0bf2b6-26e9-40ef-b351-076d35abd9c6,9cbcfedf-4455-4cfb-b412-d19cefd851ca,,Winter Special,Winter Special promotion,percent_off,15.00,50.00,25.00,bookings,,2023-12-01,2023-12-31,,,,5,100,100,0,0,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
5eb10d8e-dc3b-4496-861f-2b56a36b9dd8,38838bd5-9249-449c-8118-473dec2d5057,,Summer Sale,Summer Sale promotion,percent_off,15.00,50.00,25.00,bookings,,2024-06-01,2024-08-31,,,,5,100,47,0,1,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
ca17db4d-7729-48df-8dec-067c742a9a54,38838bd5-9249-449c-8118-473dec2d5057,,Winter Special,Winter Special promotion,percent_off,15.00,50.00,25.00,bookings,,2023-12-01,2023-12-31,,,,5,100,100,0,0,2024-01-21 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
