id,branch_id,date,open_time,close_time,is_closed,reason,created_at,updated_at,created_by,updated_by,deleted_at
e7fcf393-0c0e-4966-a993-4a7a7dbd9950,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,2024-12-25,10:00:00,18:00:00,0,Christmas,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
615e8fdd-275a-4a36-8e36-80e937117d85,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,2024-07-04,10:00:00,18:00:00,0,Independence Day,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
c9d88cc9-ea65-457f-b2b9-f3e1aecd64c9,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,2024-01-01,12:00:00,20:00:00,0,New Year,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
25326d62-4314-4e10-b1ce-736c26243b0e,6f996f5c-9b87-401f-b8e3-3f3286a589f4,2024-12-25,10:00:00,18:00:00,0,Christmas,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
b27c7d3d-23a1-48ad-aef6-af3ef30c96d8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,2024-07-04,10:00:00,18:00:00,0,Independence Day,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
27c120ae-26c4-4d72-a0ad-1eb9215fcc20,6f996f5c-9b87-401f-b8e3-3f3286a589f4,2024-01-01,12:00:00,20:00:00,0,New Year,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
c5b6f3e6-6e32-422b-a669-b81eb31c7101,eab23b60-2e47-4b22-a9ad-61036724db86,2024-12-25,10:00:00,18:00:00,0,Christmas,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
0ff09657-9663-4d8f-954b-ceb4ae11ff78,eab23b60-2e47-4b22-a9ad-61036724db86,2024-07-04,10:00:00,18:00:00,0,Independence Day,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
68717ef6-595d-486f-8079-53d3a12f9fcf,eab23b60-2e47-4b22-a9ad-61036724db86,2024-01-01,12:00:00,20:00:00,0,New Year,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
a42fa2dc-2b17-41ab-b419-906b7f90011d,b7871655-3ad6-4a91-9122-c40bf86ce57a,2024-12-25,10:00:00,18:00:00,0,Christmas,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
