id,branch_id,name,description,icon_name,created_at,updated_at,created_by,updated_by,deleted_at
1398a1c5-ca38-4578-9c08-d937bccafe43,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Parking,Parking available at this location,parking,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
6f474be4-32d1-47ef-8f60-c91d20a926eb,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Locker Room,Locker Room available at this location,locker_room,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
6a8c8f58-2389-47a7-905d-4964c64dc3c3,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
5fc84d83-c8b5-46df-b102-bb3d1d059c21,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Parking,Parking available at this location,parking,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
8eca3321-2d33-4fb6-a6b3-f9412048c6f6,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Locker Room,Locker Room available at this location,locker_room,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
0e2534a1-87b4-4e1a-a12a-65f9935206a0,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
c20ab916-4877-4607-ad04-03568406463d,6f996f5c-9b87-401f-b8e3-3f3286a589f4,Cafe,Cafe available at this location,cafe,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
3d69ac8d-1f67-4555-b5f4-89b7824ac7b7,eab23b60-2e47-4b22-a9ad-61036724db86,Parking,Parking available at this location,parking,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
81907217-8c4b-4e45-b7cb-91d3d364f720,eab23b60-2e47-4b22-a9ad-61036724db86,Locker Room,Locker Room available at this location,locker_room,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
838ba57a-a9d4-411d-9881-389f31e3dfc9,eab23b60-2e47-4b22-a9ad-61036724db86,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
881d41e6-1634-400d-80e1-6d5b9414ae9b,b7871655-3ad6-4a91-9122-c40bf86ce57a,Parking,Parking available at this location,parking,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
11f81a1c-d6c3-4a09-9d2d-0ee8171cb5c8,b7871655-3ad6-4a91-9122-c40bf86ce57a,Locker Room,Locker Room available at this location,locker_room,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
d17bc4f3-99ab-4b95-ba21-830ae78bfc3a,b7871655-3ad6-4a91-9122-c40bf86ce57a,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
cadaeea8-b2f4-4ce5-a148-47cb9f5b441f,b7871655-3ad6-4a91-9122-c40bf86ce57a,Cafe,Cafe available at this location,cafe,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
c87732e9-bea4-4413-b5d5-f68440a2c5c7,9482d0c5-1d4c-4189-8c98-45deba4320da,Parking,Parking available at this location,parking,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
