id,user_id,role_id,company_id,branch_id,assigned_at,assigned_by,expires_at,created_at,updated_at,created_by,updated_by,deleted_at
5ebcfd33-7e3c-4e8d-b0da-e6ca5d7618e2,23adaeda-61a3-464f-b460-80193d1d63da,2b1a8391-4d89-4120-8db2-cf22963cc6a3,,,2024-01-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-01 00:00:00,2024-01-01 00:00:00,,,
ea1be6ec-7686-455e-baf3-fccf97d79834,88b53f5b-4753-43ce-bd42-2f42750d71b6,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-02 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-02 00:00:00,2024-01-02 00:00:00,,,
ee9d73bb-5333-420d-a849-0e055d033b69,52efba3d-138f-4b14-b601-2b6af84884d7,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-03 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
c9fd436c-fd71-4a74-894b-8e4eeeb4e45f,7d574358-e456-4bc0-bd6e-737a4e660a59,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-04 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
90f346ff-b55d-4b4f-b263-029e9e3e6dcb,ff932d57-d80e-47b8-8890-1bc4be34f16f,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-05 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
b4ce4682-5a40-4cf1-9896-11f8b73e6433,ebef547f-47ba-4714-9089-09d0de16512d,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-06 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
6e00c8bb-5e0a-4d00-a330-4daeaecb4301,4f8c0906-f410-4b29-9485-a5a2d0c48fcc,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-07 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-07 00:00:00,2024-01-07 00:00:00,,,
f3f5a9c2-d18a-4dc2-90a3-bceccfad0d6b,73c14063-593f-4f70-bc89-91226848617a,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-08 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-08 00:00:00,2024-01-08 00:00:00,,,
342ecc90-8e2d-4ba1-9f46-0e595fddbaac,9ede05ba-e8ba-4e1c-a763-6eb938674bd4,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-09 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-09 00:00:00,2024-01-09 00:00:00,,,
e4d9a774-2bd5-4387-9c53-a0f7ab8e2571,f81b5321-6858-4d52-a4ee-660efcf5ec36,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-10 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-10 00:00:00,2024-01-10 00:00:00,,,
71349ee7-7b6d-4c0d-a71e-e9e340b71d61,416d945c-161e-4330-9fea-ae2888ca2120,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-11 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-11 00:00:00,2024-01-11 00:00:00,,,
21327ffc-3b87-47ff-8bd0-f131e3d9c511,e0fff3da-3342-45cb-9fd4-395ac251b90b,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-12 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-12 00:00:00,2024-01-12 00:00:00,,,
d1f79909-5638-4010-a2d2-d8f723644282,2e4ec524-24dd-476e-b734-58cebd653129,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-13 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-13 00:00:00,2024-01-13 00:00:00,,,
851f9a69-26e9-4021-b86c-a4681fe4ae82,792b565d-4d59-4f6c-b8ec-061ac1ea0d5c,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-14 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-14 00:00:00,2024-01-14 00:00:00,,,
d4ba2d11-75f9-467a-ad47-475f64c42ae4,7b6069ec-5dad-4166-8a29-6d773bffd2cb,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-15 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-15 00:00:00,2024-01-15 00:00:00,,,
924a90e5-89c9-4025-81b9-74a1e35ca5c3,d6aae71b-665f-459c-b95c-316749044881,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-16 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-16 00:00:00,2024-01-16 00:00:00,,,
4b8d2452-fa08-4dba-8082-a1ebadedcfcc,d8ea589b-93d6-4631-aff6-5770dae08f29,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-17 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-17 00:00:00,2024-01-17 00:00:00,,,
784027c6-d249-4932-aa58-2c9cd45e68c6,d5f3704a-8387-41d1-a150-eeffc52d5a45,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-18 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-18 00:00:00,2024-01-18 00:00:00,,,
7132c35a-5029-4bed-99fa-fd1e86c442bc,85c52e93-6b90-4941-a3d0-edce1649da44,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-19 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-19 00:00:00,2024-01-19 00:00:00,,,
5bab92bf-41f2-43a5-a4b4-62fbc4d6a281,98e36069-876d-46e3-8430-63300e5e3fd8,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-20 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-20 00:00:00,2024-01-20 00:00:00,,,
38ccae34-bdc6-44f2-8d4b-b6991a2d7bf9,2312613b-91cc-4f99-95dd-dda6820a8e5a,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-21 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-21 00:00:00,2024-01-21 00:00:00,,,
8209ec9c-e23e-4bd7-9eaa-a2b3ff8e33de,b71410fd-9181-442e-8b58-c4e20056a4e7,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-22 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-22 00:00:00,2024-01-22 00:00:00,,,
6d9fdaa5-bc12-4699-ba58-79a2d52bf1af,1dcaab2a-d207-4cac-9a0f-392124a90fb9,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-23 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-23 00:00:00,2024-01-23 00:00:00,,,
baf95927-9ae2-4a6b-ad1c-43d120974856,bc6bd127-3308-476a-80ed-112502e08028,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-24 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-24 00:00:00,2024-01-24 00:00:00,,,
caa22694-7713-4554-9afc-af893a012788,38c3b73d-5884-4005-9e41-0acc635fefe1,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-25 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-25 00:00:00,2024-01-25 00:00:00,,,
4752bf41-fc99-444e-bb64-3f0832c99214,85611826-d88a-4abf-8a9f-807d603e3342,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-26 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-26 00:00:00,2024-01-26 00:00:00,,,
d2da7035-e99b-4bc1-b2f1-fba9529716ee,c062bd5e-32fa-49b5-9c96-20c00f7c0099,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-27 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-27 00:00:00,2024-01-27 00:00:00,,,
2650a13d-155c-4fae-b6ec-1184e378cfa6,551b8471-c83b-43bc-a31e-1138813257e1,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-28 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-28 00:00:00,2024-01-28 00:00:00,,,
35a42100-847c-4686-a555-c8223220b307,5550badf-faab-4cff-9298-d12201b7e2f1,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-29 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-29 00:00:00,2024-01-29 00:00:00,,,
a22527f2-cce3-480a-96de-ac42c3cb6b1d,8603fcc5-9585-4977-9eb7-11aefeddd7f8,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-30 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-30 00:00:00,2024-01-30 00:00:00,,,
1419a078-e073-4136-8342-b2a0766709c6,c1c66332-ddd1-45a8-b977-3e5659f67301,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-01-31 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-01-31 00:00:00,2024-01-31 00:00:00,,,
9892d10c-abbf-4406-aacc-c0d61b53f0d3,79a08445-53a5-4b3b-87ea-eadce504af71,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-01 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-01 00:00:00,2024-02-01 00:00:00,,,
45dace0d-d99c-41fb-806f-2f1118f7c704,e28da5bd-b8e1-4b86-9961-176a81349070,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-02 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-02 00:00:00,2024-02-02 00:00:00,,,
93a504c4-9e8d-4157-9431-d9afc6a65159,cd1f2aec-d0f8-4abb-b475-fe67cbd6d222,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-03 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-03 00:00:00,2024-02-03 00:00:00,,,
b8a6704f-b96b-450d-bd57-40a8ddf91193,a8cab4a1-9b6b-410f-9bb1-be8655fd0e90,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-04 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-04 00:00:00,2024-02-04 00:00:00,,,
11e588f8-1436-4b7a-a8fb-f26b1f27fae7,f0af63da-b9a1-4cad-ab3a-cd733e31c40b,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-05 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-05 00:00:00,2024-02-05 00:00:00,,,
a47d20e1-2789-4c94-afa1-4b27fd4f50b3,81a62d89-cefb-4134-8651-4e6cb91875f2,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-06 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-06 00:00:00,2024-02-06 00:00:00,,,
c96c6927-679c-460e-b4e2-e21fe8a4b5f1,275eb69c-8a74-4e48-b65f-c9cb96079958,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-07 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-07 00:00:00,2024-02-07 00:00:00,,,
d6aefe1c-caff-4a72-9274-6c2baf69b49b,6ef9785c-5af9-478a-98ec-a58ef9b6125c,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-08 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-08 00:00:00,2024-02-08 00:00:00,,,
54c70027-6c42-441a-854a-6b26d7056c51,9b0c4597-fd6f-43a0-9ea6-c06b5fd716b7,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-09 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-09 00:00:00,2024-02-09 00:00:00,,,
3f7860ae-1a0d-45fc-825e-37625b667b15,27d56a5c-fb1a-492f-9d4a-8d294aa77209,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-10 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-10 00:00:00,2024-02-10 00:00:00,,,
c4504176-ba72-43de-bde2-6cd81be1c758,3a25ace4-27dc-4619-81e8-0ba15086b640,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-11 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-11 00:00:00,2024-02-11 00:00:00,,,
9d059d8a-d799-4298-80f7-46c371e2a977,b20dc445-8a42-4694-a7e0-c7df549138cc,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-12 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-12 00:00:00,2024-02-12 00:00:00,,,
0dd88a89-6834-4579-bf8e-effba2d06d2e,124b8f6b-50bf-4b34-ae21-77650e54e7f4,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-13 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-13 00:00:00,2024-02-13 00:00:00,,,
8d94f615-5759-4186-b9e1-5ac5c460277c,d77da917-ae22-454f-92b4-02df880eeace,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-14 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-14 00:00:00,2024-02-14 00:00:00,,,
e4f47b31-14d9-44f5-b38f-0ad2d557048c,487d7d66-1fed-41f3-aba1-0d3f281c6fc5,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-15 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-15 00:00:00,2024-02-15 00:00:00,,,
25d36d02-b563-43a9-8e29-19a9ba899e54,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-16 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-16 00:00:00,2024-02-16 00:00:00,,,
a2c213a8-f11c-4a3f-8232-4d2d30bddf1e,235316ca-fcdd-4bd5-950f-d33a1f6c303c,977a8142-2cd4-493b-b2ae-ba93efc532bf,,,2024-02-17 00:00:00,23adaeda-61a3-464f-b460-80193d1d63da,,2024-02-17 00:00:00,2024-02-17 00:00:00,,,
